Kepolisian Daerah,2018,2019,2020
ACEH,169,144,149
SUMATERA UTARA,231,216,231
SUMATERA BARAT,243,208,150
RIAU,109,99,123
JAMBI,180,195,134
SUMATERA SELATAN,164,156,147
BENGKULU,175,179,172
LAMPUNG,108,103,92
KEP. BANGKA BELITUNG,143,136,133
KEP. RIAU,164,152,127
METRO JAYA,137,127,105
JAWA BARAT,42,34,29
JAWA TENGAH,27,30,31
DI YOGYAKARTA,179,177,200
JAWA TIMUR,67,69,44
BANTEN,54,49,63
BALI,76,72,60
NUSA TENGGARA BARAT,130,165,167
NUSA TENGGARA TIMUR,118,111,88
KALIMANTAN BARAT,118,96,76
KALIMANTAN TENGAH,102,94,62
KALIMANTAN SELATAN,138,130,196
KALIMANTAN TIMUR,176,124,100
KALIMANTAN UTARA,57,127,146
SULAWESI UTARA,416,302,252
SULAWESI TENGAH,316,211,179
SULAWESI SELATAN,255,190,145
SULAWESI TENGGARA,49,47,81
GORONTALO,243,203,214
SULAWESI BARAT,144,148,125
MALUKU,158,200,303
MALUKU UTARA,60,59,69
PAPUA BARAT,380,325,328
PAPUA,224,214,208
INDONESIA,113,103,94
